"match_name","full_name","marathon","year","vaporfly"
"KATE DEPROSPERIS","KATE DEPROSPERIS","Cal Intl Marathon",2016,FALSE
"HILARY CORNO","HILARY CORNO","Cal Intl Marathon",2016,FALSE
"MERRILEE BLACKHAM","MERRILEE BLACKHAM","Cal Intl Marathon",2016,FALSE
"MELISSA TANNER","MELISSA TANNER","Cal Intl Marathon",2016,FALSE
"JENNIFER BERGMAN","JENNIFER BERGMAN","Cal Intl Marathon",2016,FALSE
"SARA HALL","SARA HALL","Cal Intl Marathon",2017,FALSE
"CARRIE DIMOFF","CARRIE DIMOFF","Cal Intl Marathon",2017,TRUE
"SAMANTHA BLUSKE","SAMANTHA BLUSKE","Cal Intl Marathon",2017,FALSE
"KELSEY BRUCE","KELSEY BRUCE","Cal Intl Marathon",2017,FALSE
"JANET BAWCOM","JANET BAWCOM","Cal Intl Marathon",2017,TRUE
"MADELINE DUHON","MADELINE DUHON","Cal Intl Marathon",2017,FALSE
"MEGHAN PEYTON","MEGHAN PEYTON","Cal Intl Marathon",2017,FALSE
"LYNDY DAVIS","LYNDY DAVIS","Cal Intl Marathon",2017,FALSE
"ASHLEY BRASOVAN","ASHLEY BRASOVAN","Cal Intl Marathon",2017,FALSE
"HEATHER LIEBERG","HEATHER LIEBERG","Cal Intl Marathon",2017,FALSE
"KATIE KELLNER","KATIE KELLNER","Cal Intl Marathon",2017,FALSE
"SHAWNA MCCLAIN","SHAWNA MCCLAIN","Cal Intl Marathon",2017,FALSE
"JENNIFER BERGMAN","JENNIFER BERGMAN","Cal Intl Marathon",2017,FALSE
"JENELLE DEATHERAGE","JENELLE DEATHERAGE","Cal Intl Marathon",2017,FALSE
"CHRISTINE SHAW","CHRISTINE SHAW","Cal Intl Marathon",2017,FALSE
"KATE DEPROSPERIS","KATE DEPROSPERIS","Cal Intl Marathon",2017,FALSE
"LAUREN PHILBROOK","LAUREN PHILBROOK","Cal Intl Marathon",2017,FALSE
"JULIA ROMAN-DUVAL","JULIA ROMAN-DUVAL","Cal Intl Marathon",2017,FALSE
"CAITLIN SMITH","CAITLIN SMITH","Cal Intl Marathon",2017,FALSE
"HILARY CORNO","HILARY CORNO","Cal Intl Marathon",2017,FALSE
"ANDIE COZZARELLI","ANDIE COZZARELLI","Cal Intl Marathon",2017,FALSE
"GINA SLABY","GINA SLABY","Cal Intl Marathon",2017,FALSE
"STEPHANIE BRUCE","STEPHANIE BRUCE","Cal Intl Marathon",2018,FALSE
"MAEGAN KRIFCHIN","MAEGAN KRIFCHIN","Cal Intl Marathon",2018,FALSE
"HILARY DIONNE","HILARY DIONNE","Cal Intl Marathon",2018,TRUE
"KIMI REED","KIMI REED","Cal Intl Marathon",2018,TRUE
"MEGHAN PEYTON","MEGHAN PEYTON","Cal Intl Marathon",2018,TRUE
"ESTHER ATKINS","ESTHER ATKINS","Cal Intl Marathon",2018,TRUE
"JULIA ROMAN-DUVAL","JULIA ROMAN-DUVAL","Cal Intl Marathon",2018,TRUE
"RACHEL HYLAND","RACHEL HYLAND","Cal Intl Marathon",2018,FALSE
"HEATHER LIEBERG","HEATHER LIEBERG","Cal Intl Marathon",2018,FALSE
"AMANDA PHILLIPS","AMANDA PHILLIPS","Cal Intl Marathon",2018,FALSE
"ALLISON MACSAS","ALLISON MACSAS","Cal Intl Marathon",2018,FALSE
"TERESA MCWALTERS","TERESA MCWALTERS","Cal Intl Marathon",2018,FALSE
"AMANDA SCOTT","AMANDA SCOTT","Cal Intl Marathon",2018,TRUE
"SARAH CUMMINGS","SARAH CUMMINGS","Cal Intl Marathon",2018,TRUE
"MELISSA BURKART","MELISSA BURKART","Cal Intl Marathon",2018,FALSE
"LAURA HARNISH","LAURA HARNISH","Cal Intl Marathon",2018,FALSE
"KATE DEPROSPERIS","KATE DEPROSPERIS","Cal Intl Marathon",2018,TRUE
"LISSA ZIMMER","LISSA ZIMMER","Cal Intl Marathon",2018,FALSE
"JANE KIBII","JANE KIBII","Cal Intl Marathon",2019,TRUE
"OBSIE BIRRU","OBSIE BIRRU","Cal Intl Marathon",2019,TRUE
"KATJA GOLDRING","KATJA GOLDRING","Cal Intl Marathon",2019,TRUE
"KRISTEN CARTER SCHAFER","KRISTEN SCHAFER","Cal Intl Marathon",2019,TRUE
"AILSA MACDONALD","AILSA MACDONALD","Cal Intl Marathon",2019,FALSE
"FLORENCE KIPLAGAT","FLORENCE KIPLAGAT","Chicago Marathon",2015,FALSE
"YEBRGUAL MELESE","YEBRGUAL MELESE","Chicago Marathon",2015,FALSE
"BIRHANE DIBABA","BIRHANE DIBABA","Chicago Marathon",2015,FALSE
"KAYOKO FUKUSHI","KAYOKO FUKUSHI","Chicago Marathon",2015,FALSE
"MULU SEBOKA","MULU SEBOKA","Chicago Marathon",2015,FALSE
"MESKEREM ASSEFA","MESKEREM ASSEFA","Chicago Marathon",2015,FALSE
"DEENA KASTOR","DEENA KASTOR","Chicago Marathon",2015,FALSE
"DIANE NUKURI","DIANE NUKURI","Chicago Marathon",2015,FALSE
"JESSICA DRASKAU PETERSSON","JESSICA DRASKAU PETERSSON","Chicago Marathon",2015,FALSE
"SARA HALL","SARA HALL","Chicago Marathon",2015,FALSE
"SUSAN PARTRIDGE","SUSAN PARTRIDGE","Chicago Marathon",2015,FALSE
"SARAH CROUCH","SARAH CROUCH","Chicago Marathon",2015,FALSE
"FIONNUALA BRITTON","FIONNUALA BRITTON","Chicago Marathon",2015,FALSE
"MONIKA JUODESKAITE","MONIKA JUODESKAITE","Chicago Marathon",2015,FALSE
"MARITZA ARENAS","MARITZA ARENAS","Chicago Marathon",2015,FALSE
"TERA MOODY","TERA MOODY","Chicago Marathon",2015,FALSE
"RACHEL HYLAND","RACHEL HYLAND","Chicago Marathon",2015,FALSE
"LAURA HARNISH","LAURA HARNISH","Chicago Marathon",2015,FALSE
"ERIN MOELLER","ERIN MOELLER","Chicago Marathon",2015,FALSE
"LAUREN KERSJES","LAUREN KERSJES","Chicago Marathon",2015,FALSE
"MARIA ELENA CALLE","MARIA ELENA CALLE","Chicago Marathon",2015,FALSE
"YOLYMAR PINEDA","YOLYMAR PINEDA","Chicago Marathon",2015,FALSE
"TAYLOR WARD","TAYLOR WARD","Chicago Marathon",2015,FALSE
"ALEXANDRA BERNARDI","ALEXANDRA BERNARDI","Chicago Marathon",2015,FALSE
"KATIE SCHIEMANN","KATIE SCHIEMANN","Chicago Marathon",2015,FALSE
"CHIRINE NJEIM","CHIRINE NJEIM","Chicago Marathon",2015,FALSE
"AMANDA SCOTT","AMANDA SCOTT","Chicago Marathon",2015,FALSE
