"name_age","match_name","full_name","marathon","year","date","time","time_minutes","vaporfly"
"Timothy Ritchie (M31)","TIMOTHY RITCHIE","TIMOTHY RITCHIE","Boston Marathon",2019,"2019-04-15","2:24:54",144.9,FALSE
"Cesar Martins (M47)","CESAR MARTINS","CESAR MARTINS","Boston Marathon",2019,"2019-04-15","2:30:58",150.966666666667,FALSE
"Michael Wardian (M45)","MICHAEL WARDIAN","MICHAEL WARDIAN","Boston Marathon",2019,"2019-04-15","2:33:23",153.383333333333,FALSE
"Matt Williams (M32)","MATTHEW WILLIAMS","MATT WILLIAMS","Boston Marathon",2019,"2019-04-15","2:37:11",157.183333333333,TRUE
"Elisha Barno (M30)","ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2015,"2015-12-06","2:12:11",132.183333333333,FALSE
"Macdonard Ondara (M30)","MACDONARD ONDARA","MACDONARD ONDARA","Cal Intl Marathon",2015,"2015-12-06","2:13:23",133.383333333333,FALSE
"Dereje Abera Ali (M36)","DEREJE ABERA ALI","DEREJE ABERA ALI","Cal Intl Marathon",2015,"2015-12-06","2:15:09",135.15,FALSE
"Julius Keter (M27)","JULIUS KETER","JULIUS KETER","Cal Intl Marathon",2015,"2015-12-06","2:15:10",135.166666666667,FALSE
"Meshack Kirwa (M41)","MESHACK KIRWA","MESHACK KIRWA","Cal Intl Marathon",2015,"2015-12-06","2:15:47",135.783333333333,FALSE
"Mason Frank (M26)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2015,"2015-12-06","2:18:34",138.566666666667,FALSE
"Azerya Teklay (M37)","AZERYA TEKLAY","AZERYA TEKLAY","Cal Intl Marathon",2015,"2015-12-06","2:18:38",138.633333333333,FALSE
"Brandon Mull (M30)","BRANDON MULL","BRANDON MULL","Cal Intl Marathon",2015,"2015-12-06","2:18:44",138.733333333333,FALSE
"David Le Porho (M38)","DAVID LE PORHO","DAVID LE PORHO","Cal Intl Marathon",2015,"2015-12-06","2:19:37",139.616666666667,FALSE
"Sage Canaday (M30)","SAGE CANADAY","SAGE CANADAY","Cal Intl Marathon",2015,"2015-12-06","2:19:51",139.85,FALSE
"Matt Hensley (M28)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2015,"2015-12-06","2:20:13",140.216666666667,FALSE
"Jose Madera (M24)","JOSE MADERA","JOSE MADERA","Cal Intl Marathon",2015,"2015-12-06","2:20:28",140.466666666667,FALSE
"Matt Duffy (M25)","MATT DUFFY","MATT DUFFY","Cal Intl Marathon",2015,"2015-12-06","2:21:02",141.033333333333,FALSE
