"match_name","full_name","marathon","year","vaporfly"
"MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2017,FALSE
"CRAIG LEON","CRAIG LEON","Cal Intl Marathon",2017,FALSE
"CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Cal Intl Marathon",2017,FALSE
"TIMOTHY YOUNG","TIM YOUNG","Cal Intl Marathon",2017,FALSE
"NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2017,FALSE
"DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2017,FALSE
"ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2017,FALSE
"GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2017,TRUE
"FERNANDO CABADA","FERNANDO CABADA","Cal Intl Marathon",2017,FALSE
"PATRICK RIZZO","PATRICK RIZZO","Cal Intl Marathon",2017,FALSE
"ERIC LOEFFLER","ERIC LOEFFLER","Cal Intl Marathon",2017,TRUE
"MASON FRANK","MASON FRANK","Cal Intl Marathon",2017,FALSE
"MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2017,FALSE
"CHRIS CHAVEZ","CHRIS CHAVEZ","Cal Intl Marathon",2017,FALSE
"STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2017,FALSE
"ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2017,FALSE
"BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2017,FALSE
"MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2017,FALSE
"ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2017,FALSE
"JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2017,FALSE
"NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Cal Intl Marathon",2017,FALSE
"PHILIPPE VIAU-DUPUIS","PHILIPPE VIAU-DUPUIS","Cal Intl Marathon",2017,FALSE
"MICHAEL WARDIAN","MICHAEL WARDIAN","Cal Intl Marathon",2017,FALSE
"MATT LLANO","MATT LLANO","Cal Intl Marathon",2018,FALSE
"BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2018,FALSE
"NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2018,FALSE
"SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2018,TRUE
"MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2018,TRUE
"BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2018,TRUE
"DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2018,TRUE
"JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2018,TRUE
